failure_id,module,severity,coverage_drop,frequency,recurrence,fix_time,log_message,priority
FAIL_00001,cache_controller,fatal,11,9,4,3,Cache dirty line writeback ordering failed scoreboard comparison,1
FAIL_00002,cache_controller,error,8,6,3,4,Cache dirty line writeback ordering failed scoreboard comparison,2
FAIL_00003,uart,warning,2,2,0,2,UART framing error observed under back-to-back packet transmission,3
FAIL_00004,memory_controller,warning,2,5,2,2,Memory controller returned stale read data after refresh window,3
FAIL_00005,dma,fatal,13,6,5,3,DMA burst transfer count mismatched expected payload length,1
FAIL_00006,cache_controller,warning,1,6,2,1,Cache refill handshake timed out while servicing L2 miss,3
FAIL_00007,interrupt_controller,error,11,7,4,1,Interrupt controller dropped pending interrupt during nested service,2
FAIL_00008,cache_controller,error,2,7,4,4,Cache dirty line writeback ordering failed scoreboard comparison,2
FAIL_00009,pcie,warning,3,3,0,1,PCIe link training failed to reach expected LTSSM state,3
FAIL_00010,memory_controller,error,6,10,3,2,Memory controller arbitration granted illegal transaction ordering,2
FAIL_00011,alu,error,10,6,3,4,ALU result mismatch against reference model at execute stage,2
FAIL_00012,dram_interface,error,1,6,3,3,DRAM interface calibration failed during initialization sequence,2
FAIL_00013,uart,warning,0,3,0,3,UART RX FIFO overflow triggered mismatch in serial regression,3
FAIL_00014,uart,warning,5,6,1,1,UART framing error observed under back-to-back packet transmission,3
FAIL_00015,memory_controller,warning,2,4,0,4,Memory controller timing constraint violation observed in burst access,3
FAIL_00016,pcie,warning,3,4,1,1,PCIe TLP header mismatch detected by protocol monitor,3
FAIL_00017,pcie,warning,2,5,1,2,PCIe TLP header mismatch detected by protocol monitor,3
FAIL_00018,pcie,warning,3,2,2,3,PCIe TLP header mismatch detected by protocol monitor,3
FAIL_00019,pipeline_controller,warning,5,7,0,2,Pipeline controller commit ordering mismatch observed in regression,3
FAIL_00020,alu,error,6,6,1,5,ALU opcode decode produced unexpected result on signed multiply path,2
FAIL_00021,uart,fatal,15,5,5,4,UART framing error observed under back-to-back packet transmission,1
FAIL_00022,pipeline_controller,warning,5,6,0,2,Pipeline controller commit ordering mismatch observed in regression,3
FAIL_00023,dma,warning,7,3,0,1,DMA completion interrupt was not asserted after block copy,3
FAIL_00024,dram_interface,error,5,6,3,4,DRAM interface read leveling mismatch flagged by checker,2
FAIL_00025,pipeline_controller,error,7,7,2,2,Pipeline controller failed to flush dependent instructions on exception,2
FAIL_00026,dram_interface,fatal,11,10,4,4,DRAM interface read leveling mismatch flagged by checker,1
FAIL_00027,interrupt_controller,error,8,2,3,3,Interrupt priority encoder produced incorrect winner on simultaneous request,2
FAIL_00028,dram_interface,error,2,7,1,1,DRAM interface calibration failed during initialization sequence,2
FAIL_00029,alu,error,4,9,3,4,ALU opcode decode produced unexpected result on signed multiply path,2
FAIL_00030,memory_controller,error,7,7,4,2,Memory controller timing constraint violation observed in burst access,2
FAIL_00031,cache_controller,fatal,15,8,5,4,Cache controller reported coherence state violation during eviction sequence,1
FAIL_00032,memory_controller,error,1,6,4,3,Memory controller returned stale read data after refresh window,2
FAIL_00033,dma,error,8,4,0,4,DMA burst transfer count mismatched expected payload length,2
FAIL_00034,branch_predictor,error,5,10,2,2,Branch predictor accuracy dropped below threshold in loop stress test,2
FAIL_00035,dram_interface,fatal,8,7,4,4,DRAM interface read leveling mismatch flagged by checker,1
FAIL_00036,cache_controller,warning,4,4,2,1,Cache dirty line writeback ordering failed scoreboard comparison,3
FAIL_00037,uart,error,8,6,2,2,UART RX FIFO overflow triggered mismatch in serial regression,2
FAIL_00038,pcie,error,7,5,1,4,PCIe completion timeout observed for posted transaction replay,2
FAIL_00039,branch_predictor,error,7,5,0,4,Branch predictor produced incorrect target for speculative branch,2
FAIL_00040,cache_controller,error,5,6,3,3,Cache controller reported coherence state violation during eviction sequence,2
FAIL_00041,dram_interface,error,4,7,2,5,DRAM interface read leveling mismatch flagged by checker,2
FAIL_00042,pipeline_controller,fatal,12,7,3,2,Pipeline controller failed to flush dependent instructions on exception,1
FAIL_00043,pcie,fatal,13,9,4,5,PCIe TLP header mismatch detected by protocol monitor,1
FAIL_00044,dram_interface,error,5,5,0,3,DRAM interface calibration failed during initialization sequence,2
FAIL_00045,cache_controller,warning,3,3,1,2,Cache refill handshake timed out while servicing L2 miss,3
FAIL_00046,memory_controller,warning,0,3,1,2,Memory controller timing constraint violation observed in burst access,3
FAIL_00047,memory_controller,error,9,4,3,3,Memory controller arbitration granted illegal transaction ordering,2
FAIL_00048,dram_interface,warning,4,1,2,2,DRAM interface calibration failed during initialization sequence,3
FAIL_00049,cache_controller,error,1,5,5,3,Cache controller reported coherence state violation during eviction sequence,2
FAIL_00050,memory_controller,warning,5,1,3,2,Memory controller arbitration granted illegal transaction ordering,3
FAIL_00051,dma,warning,6,1,1,4,DMA descriptor fetch returned misaligned address in transfer path,3
FAIL_00052,dma,warning,4,3,2,1,DMA completion interrupt was not asserted after block copy,3
FAIL_00053,uart,error,5,4,3,3,UART RX FIFO overflow triggered mismatch in serial regression,2
FAIL_00054,dram_interface,warning,0,7,0,2,DRAM interface calibration failed during initialization sequence,3
FAIL_00055,pcie,error,9,6,4,4,PCIe TLP header mismatch detected by protocol monitor,2
FAIL_00056,dram_interface,error,8,6,4,3,DRAM interface calibration failed during initialization sequence,2
FAIL_00057,dma,fatal,14,7,4,3,DMA burst transfer count mismatched expected payload length,1
FAIL_00058,uart,error,11,7,2,4,UART framing error observed under back-to-back packet transmission,2
FAIL_00059,pcie,error,6,4,2,2,PCIe link training failed to reach expected LTSSM state,2
FAIL_00060,dma,warning,0,6,2,3,DMA completion interrupt was not asserted after block copy,3
FAIL_00061,pipeline_controller,warning,2,5,1,1,Pipeline stall signal deasserted too early during hazard condition,3
FAIL_00062,branch_predictor,error,5,4,4,1,Branch predictor accuracy dropped below threshold in loop stress test,2
FAIL_00063,memory_controller,warning,2,7,1,2,Memory controller returned stale read data after refresh window,3
FAIL_00064,pcie,error,7,6,3,4,PCIe link training failed to reach expected LTSSM state,2
FAIL_00065,branch_predictor,error,6,5,2,2,Branch predictor produced incorrect target for speculative branch,2
FAIL_00066,memory_controller,warning,7,4,1,2,Memory controller arbitration granted illegal transaction ordering,3
FAIL_00067,uart,error,10,5,4,3,UART framing error observed under back-to-back packet transmission,2
FAIL_00068,branch_predictor,fatal,8,8,3,4,Branch history table update diverged from golden model,1
FAIL_00069,interrupt_controller,warning,5,3,2,1,Interrupt controller dropped pending interrupt during nested service,3
FAIL_00070,branch_predictor,error,7,2,3,5,Branch history table update diverged from golden model,2
FAIL_00071,uart,error,9,7,3,4,UART baud generator drift exceeded acceptable tolerance in simulation,2
FAIL_00072,cache_controller,fatal,11,10,4,4,Cache refill handshake timed out while servicing L2 miss,1
FAIL_00073,dram_interface,error,5,7,1,4,DRAM interface read leveling mismatch flagged by checker,2
FAIL_00074,alu,warning,3,2,2,2,ALU opcode decode produced unexpected result on signed multiply path,3
FAIL_00075,dma,error,6,2,4,2,DMA completion interrupt was not asserted after block copy,2
FAIL_00076,dma,error,4,8,4,1,DMA completion interrupt was not asserted after block copy,2
FAIL_00077,memory_controller,warning,0,3,0,1,Memory controller returned stale read data after refresh window,3
FAIL_00078,dma,fatal,10,8,3,4,DMA completion interrupt was not asserted after block copy,1
FAIL_00079,dram_interface,warning,0,6,1,1,DRAM interface calibration failed during initialization sequence,3
FAIL_00080,branch_predictor,fatal,1,6,3,5,Branch predictor accuracy dropped below threshold in loop stress test,1
FAIL_00081,alu,warning,5,4,2,2,ALU overflow mismatch detected during randomized arithmetic regression,3
FAIL_00082,branch_predictor,warning,1,3,0,1,Branch predictor produced incorrect target for speculative branch,3
FAIL_00083,interrupt_controller,warning,3,3,2,1,Interrupt controller dropped pending interrupt during nested service,3
FAIL_00084,interrupt_controller,fatal,10,10,5,4,Interrupt controller acknowledge sequence timed out in verification run,1
FAIL_00085,uart,fatal,10,6,5,5,UART baud generator drift exceeded acceptable tolerance in simulation,1
FAIL_00086,interrupt_controller,warning,4,2,2,2,Interrupt controller acknowledge sequence timed out in verification run,3
FAIL_00087,dram_interface,fatal,11,8,3,4,DRAM interface command queue underflow hit during stress test,1
FAIL_00088,dram_interface,warning,5,1,0,3,DRAM interface read leveling mismatch flagged by checker,3
FAIL_00089,pcie,warning,7,2,0,2,PCIe TLP header mismatch detected by protocol monitor,3
FAIL_00090,pcie,error,7,10,3,4,PCIe completion timeout observed for posted transaction replay,2
FAIL_00091,interrupt_controller,warning,3,4,1,2,Interrupt controller dropped pending interrupt during nested service,3
FAIL_00092,dram_interface,warning,0,7,1,1,DRAM interface calibration failed during initialization sequence,3
FAIL_00093,pipeline_controller,warning,6,6,0,2,Pipeline controller commit ordering mismatch observed in regression,3
FAIL_00094,branch_predictor,warning,0,4,2,2,Branch predictor accuracy dropped below threshold in loop stress test,3
FAIL_00095,uart,error,4,5,2,3,UART baud generator drift exceeded acceptable tolerance in simulation,2
FAIL_00096,pipeline_controller,error,6,4,3,4,Pipeline controller failed to flush dependent instructions on exception,2
FAIL_00097,dram_interface,fatal,7,7,4,5,DRAM interface command queue underflow hit during stress test,1
FAIL_00098,pcie,warning,6,4,1,2,PCIe link training failed to reach expected LTSSM state,3
FAIL_00099,pcie,error,7,6,2,3,PCIe link training failed to reach expected LTSSM state,2
FAIL_00100,pipeline_controller,error,11,5,3,3,Pipeline controller failed to flush dependent instructions on exception,2
FAIL_00101,interrupt_controller,error,4,6,4,3,Interrupt priority encoder produced incorrect winner on simultaneous request,2
FAIL_00102,cache_controller,warning,2,4,1,2,Cache controller reported coherence state violation during eviction sequence,3
FAIL_00103,interrupt_controller,warning,5,5,0,2,Interrupt controller acknowledge sequence timed out in verification run,3
FAIL_00104,interrupt_controller,error,4,6,1,4,Interrupt priority encoder produced incorrect winner on simultaneous request,2
FAIL_00105,pcie,error,14,8,5,4,PCIe TLP header mismatch detected by protocol monitor,2
FAIL_00106,uart,error,9,7,2,3,UART RX FIFO overflow triggered mismatch in serial regression,2
FAIL_00107,branch_predictor,warning,2,4,1,3,Branch history table update diverged from golden model,3
FAIL_00108,cache_controller,warning,7,2,0,1,Cache controller reported coherence state violation during eviction sequence,3
FAIL_00109,dma,fatal,11,9,4,4,DMA descriptor fetch returned misaligned address in transfer path,1
FAIL_00110,memory_controller,warning,0,2,2,2,Memory controller arbitration granted illegal transaction ordering,3
FAIL_00111,pcie,warning,6,3,1,2,PCIe link training failed to reach expected LTSSM state,3
FAIL_00112,dma,warning,3,4,1,3,DMA burst transfer count mismatched expected payload length,3
FAIL_00113,interrupt_controller,warning,7,4,1,2,Interrupt controller dropped pending interrupt during nested service,3
FAIL_00114,branch_predictor,error,5,7,4,3,Branch history table update diverged from golden model,2
FAIL_00115,cache_controller,error,5,7,4,3,Cache refill handshake timed out while servicing L2 miss,2
FAIL_00116,branch_predictor,error,12,5,2,3,Branch history table update diverged from golden model,2
FAIL_00117,pcie,error,10,6,0,3,PCIe TLP header mismatch detected by protocol monitor,2
FAIL_00118,pipeline_controller,error,10,7,2,2,Pipeline stall signal deasserted too early during hazard condition,2
FAIL_00119,alu,error,0,5,1,4,ALU overflow mismatch detected during randomized arithmetic regression,2
FAIL_00120,alu,warning,2,3,2,3,ALU result mismatch against reference model at execute stage,3
FAIL_00121,dma,fatal,15,8,4,4,DMA descriptor fetch returned misaligned address in transfer path,1
FAIL_00122,branch_predictor,warning,2,7,0,3,Branch history table update diverged from golden model,3
FAIL_00123,uart,error,8,7,1,2,UART framing error observed under back-to-back packet transmission,2
FAIL_00124,cache_controller,error,8,4,4,3,Cache controller reported coherence state violation during eviction sequence,2
FAIL_00125,pcie,warning,5,2,0,1,PCIe completion timeout observed for posted transaction replay,3
FAIL_00126,pipeline_controller,error,4,9,1,5,Pipeline controller failed to flush dependent instructions on exception,2
FAIL_00127,uart,error,8,9,5,3,UART baud generator drift exceeded acceptable tolerance in simulation,2
FAIL_00128,dma,error,4,3,5,3,DMA descriptor fetch returned misaligned address in transfer path,2
FAIL_00129,memory_controller,error,2,4,4,2,Memory controller timing constraint violation observed in burst access,2
FAIL_00130,branch_predictor,fatal,14,10,4,4,Branch history table update diverged from golden model,1
FAIL_00131,dram_interface,warning,2,4,0,3,DRAM interface read leveling mismatch flagged by checker,3
FAIL_00132,dma,warning,0,1,0,2,DMA burst transfer count mismatched expected payload length,3
FAIL_00133,cache_controller,error,6,4,3,3,Cache controller reported coherence state violation during eviction sequence,2
FAIL_00134,cache_controller,error,5,2,5,4,Cache refill handshake timed out while servicing L2 miss,2
FAIL_00135,dram_interface,error,9,8,1,2,DRAM interface calibration failed during initialization sequence,2
FAIL_00136,memory_controller,fatal,13,6,4,5,Memory controller returned stale read data after refresh window,1
FAIL_00137,uart,error,7,8,5,3,UART RX FIFO overflow triggered mismatch in serial regression,2
FAIL_00138,pipeline_controller,error,4,7,1,2,Pipeline stall signal deasserted too early during hazard condition,2
FAIL_00139,pcie,error,3,10,3,3,PCIe completion timeout observed for posted transaction replay,2
FAIL_00140,interrupt_controller,error,6,9,5,3,Interrupt priority encoder produced incorrect winner on simultaneous request,2
FAIL_00141,pcie,fatal,14,6,5,4,PCIe TLP header mismatch detected by protocol monitor,1
FAIL_00142,branch_predictor,warning,7,2,1,4,Branch predictor produced incorrect target for speculative branch,3
FAIL_00143,uart,warning,1,1,0,1,UART baud generator drift exceeded acceptable tolerance in simulation,3
FAIL_00144,cache_controller,warning,2,3,0,2,Cache dirty line writeback ordering failed scoreboard comparison,3
FAIL_00145,memory_controller,fatal,10,10,4,4,Memory controller timing constraint violation observed in burst access,1
FAIL_00146,dram_interface,error,12,4,3,5,DRAM interface command queue underflow hit during stress test,2
FAIL_00147,pcie,warning,2,5,2,2,PCIe link training failed to reach expected LTSSM state,3
FAIL_00148,dma,warning,4,2,1,2,DMA burst transfer count mismatched expected payload length,3
FAIL_00149,cache_controller,error,5,3,1,2,Cache refill handshake timed out while servicing L2 miss,2
FAIL_00150,cache_controller,warning,0,4,2,2,Cache dirty line writeback ordering failed scoreboard comparison,3
FAIL_00151,uart,warning,1,2,0,1,UART framing error observed under back-to-back packet transmission,3
FAIL_00152,memory_controller,fatal,15,9,5,4,Memory controller timing constraint violation observed in burst access,1
FAIL_00153,memory_controller,error,2,10,2,2,Memory controller timing constraint violation observed in burst access,2
FAIL_00154,memory_controller,warning,0,1,0,1,Memory controller arbitration granted illegal transaction ordering,3
FAIL_00155,alu,warning,4,6,1,3,ALU result mismatch against reference model at execute stage,3
FAIL_00156,dram_interface,error,10,6,2,3,DRAM interface calibration failed during initialization sequence,2
FAIL_00157,branch_predictor,fatal,12,10,4,4,Branch history table update diverged from golden model,1
FAIL_00158,uart,warning,3,3,2,1,UART baud generator drift exceeded acceptable tolerance in simulation,3
FAIL_00159,uart,warning,3,7,1,1,UART RX FIFO overflow triggered mismatch in serial regression,3
FAIL_00160,memory_controller,warning,0,3,3,3,Memory controller returned stale read data after refresh window,3
FAIL_00161,alu,error,8,3,4,3,ALU overflow mismatch detected during randomized arithmetic regression,2
FAIL_00162,dma,error,7,4,3,2,DMA descriptor fetch returned misaligned address in transfer path,2
FAIL_00163,branch_predictor,error,8,6,4,1,Branch predictor accuracy dropped below threshold in loop stress test,2
FAIL_00164,pcie,error,8,6,2,3,PCIe TLP header mismatch detected by protocol monitor,2
FAIL_00165,cache_controller,error,8,6,5,4,Cache controller reported coherence state violation during eviction sequence,2
