failure_id,module,severity,coverage_drop,frequency,recurrence,fix_time,log_message,priority
0,branch_predictor,warning,4,1,2,1,Invalid memory access violation in branch_predictor,Low
1,memory_controller,fatal,13,5,2,3,Buffer overflow detected in memory_controller,High
2,uart,error,6,4,5,2,Invalid memory access violation in uart,Medium
3,memory_controller,error,0,4,4,2,DMA transfer error in memory_controller,Low
4,cache_controller,error,2,4,3,1,Branch misprediction detected in cache_controller,Low
5,memory_controller,fatal,3,2,2,1,Pipeline hazard detected in memory_controller,Low
6,dma,error,14,3,3,3,Cache coherency violation in dma,Medium
7,memory_controller,error,12,8,1,4,Buffer overflow detected in memory_controller,Medium
8,alu,fatal,15,4,5,3,Assertion failure detected in alu,High
9,interrupt_controller,fatal,0,3,3,3,Protocol violation detected in interrupt_controller,Low
10,dma,error,2,6,4,2,Pipeline hazard detected in dma,Low
11,alu,warning,7,8,4,5,Buffer overflow detected in alu,Low
12,pipeline_controller,warning,0,7,3,2,Protocol violation detected in pipeline_controller,Low
13,interrupt_controller,error,7,6,1,1,Cache coherency violation in interrupt_controller,Medium
14,pcie,warning,11,2,2,5,Invalid memory access violation in pcie,Low
15,cache_controller,error,7,7,3,1,Cache coherency violation in cache_controller,Medium
16,interrupt_controller,error,13,2,3,5,Pipeline hazard detected in interrupt_controller,Medium
17,alu,warning,2,2,5,2,Buffer overflow detected in alu,Low
18,pcie,fatal,6,2,4,3,Cache coherency violation in pcie,Low
19,cache_controller,fatal,3,5,1,5,Protocol violation detected in cache_controller,Low
20,uart,error,14,10,3,4,Pipeline hazard detected in uart,Medium
21,pcie,warning,7,1,2,5,DMA transfer error in pcie,Low
22,dram_interface,fatal,3,5,1,5,Assertion failure detected in dram_interface,Low
23,uart,warning,1,2,2,2,Protocol violation detected in uart,Low
24,dma,error,3,3,2,1,Branch misprediction detected in dma,Low
25,uart,warning,2,2,5,4,Branch misprediction detected in uart,Low
26,interrupt_controller,warning,3,3,1,5,Buffer overflow detected in interrupt_controller,Low
27,pipeline_controller,warning,7,10,4,5,Buffer overflow detected in pipeline_controller,Low
28,pipeline_controller,warning,0,3,2,2,Pipeline hazard detected in pipeline_controller,Low
29,branch_predictor,fatal,11,10,0,4,Cache coherency violation in branch_predictor,High
30,uart,fatal,1,3,0,1,Cache coherency violation in uart,Low
31,alu,warning,13,3,1,4,Protocol violation detected in alu,Low
32,alu,warning,0,6,5,1,Branch misprediction detected in alu,Low
33,dram_interface,fatal,13,4,4,5,Protocol violation detected in dram_interface,High
34,cache_controller,warning,1,7,5,5,Invalid memory access violation in cache_controller,Low
35,dram_interface,fatal,11,7,2,5,Branch misprediction detected in dram_interface,High
36,branch_predictor,warning,2,4,5,1,DMA transfer error in branch_predictor,Low
37,memory_controller,warning,5,7,3,3,Branch misprediction detected in memory_controller,Low
38,pcie,warning,11,10,0,2,Branch misprediction detected in pcie,Low
39,uart,warning,9,9,1,1,Protocol violation detected in uart,Low
40,branch_predictor,error,4,5,2,1,Cache coherency violation in branch_predictor,Low
41,branch_predictor,warning,11,4,0,1,Invalid memory access violation in branch_predictor,Low
42,cache_controller,error,1,9,0,4,Cache coherency violation in cache_controller,Low
43,cache_controller,error,10,8,4,4,Cache coherency violation in cache_controller,Medium
44,branch_predictor,fatal,12,2,5,4,Invalid memory access violation in branch_predictor,High
45,dram_interface,fatal,1,10,5,3,Cache coherency violation in dram_interface,Low
46,alu,error,15,9,4,2,Protocol violation detected in alu,Medium
47,pipeline_controller,fatal,13,5,0,3,Branch misprediction detected in pipeline_controller,High
